campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Saw palmetto + Pygeum africanum;643094026;2.3.2026;cpc;0,81;;3;0;0;0;0;0;0;upmMPKDE7;4260557422311;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps Extrakt;658347556;2.3.2026;cpc;1,01;;3;1;33,333333;0;1,01;0;0;14250611;4260309483218;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cannella Ceylon BIO;649115454;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upmW9KKTG;4260557422618;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Tribulus terrestris Extrakt;658279972;2.3.2026;cpc;0,51;;3;1;33,333333;0;0,51;0;0;14251088;4260309481313;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Olivenblatt (40% Oleuropein);643089681;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upmZ43LYR;4260557420898;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Brennnessel BIO;625775256;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upm9RX43T;4260557421031;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ingwer BIO;625770334;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmPX4TPU;4260557420386;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Maitake BIO;620567773;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmW4TZYD;4260557420874;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Spirulina BIO;625770439;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmDHLCKL;4260557420560;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olivo;641644609;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmZ43LYR;4260557420898;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Shiitake Extrakt;619721567;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmZ7P4AX;4260557421970;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ingwer BIO;619663942;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmPX4TPU;4260557420386;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Hericium BIO;625745395;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmMERCUR;4260557420881;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658347562;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upmD7EWMP;4260557420454;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;658280068;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upm97PFY9;4260557421826;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Apple Cider Vinegar;626443800;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmUTDZP9;4260557423158;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO EAA Pulver Pfirsich;658445040;2.3.2026;cpc;1,01;;3;0;0;0;0;0;0;upmP94YR7;4260557423530;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Taurin Plus;643136001;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upmXXW9XA;4260557423059;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Cherry;620611413;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;14251102;4260557420027;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Knoblauch Plus;643126592;2.3.2026;cpc;0,31;;3;0;0;0;0;0;0;upm2WRLPU;4260557422632;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;626443785;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmPHKX9F;4260557423141;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658295948;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Apple Cider Vinegar;620564988;2.3.2026;cpc;0,51;;3;0;0;0;0;0;0;upmUTDZP9;4260557423158;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Plus;658347224;2.3.2026;cpc;0,31;;2;0;0;0;0;0;0;upmKWW3MD;4260557423349;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reflu-X Complex;643089691;2.3.2026;cpc;0,51;;2;0;0;0;0;0;0;upm4ZWYPF;4260557420980;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Apple Cider Vinegar;643138167;2.3.2026;cpc;0,31;;2;0;0;0;0;0;0;upmUTDZP9;4260557423158;0
