campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Bockshornklee BIO;643134873;6.5.2026;cpc;0,31;;6;0;0;0;0;0;0;upm7AL3PG;4260557422977;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ferro;658331759;6.5.2026;cpc;0,31;;6;0;0;0;0;0;0;14250692;4260309483065;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Guggul;652847799;6.5.2026;cpc;0,51;;5;0;0;0;0;0;0;upmT99EZK;4260557421123;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Curcuma BIO;626440031;6.5.2026;cpc;0,51;;5;0;0;0;0;0;0;upm27X4XW;4260557422878;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen und Borretsch?l BIO;658295855;6.5.2026;cpc;0,51;;5;0;0;0;0;0;0;upm7KTFPH;4260557421420;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya Enzym;625793359;6.5.2026;cpc;0,51;;5;0;0;0;0;0;0;14250930;4260309482648;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps sinensis BIO;658295815;6.5.2026;cpc;0,31;;7;0;0;0;0;0;0;upmTG77MW;4260557422991;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Taurin Plus;643136001;6.5.2026;cpc;0,31;;5;0;0;0;0;0;0;upmXXW9XA;4260557423059;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;658280046;6.5.2026;cpc;0,31;;6;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glycin Pulver;658347520;6.5.2026;cpc;0,31;;4;0;0;0;0;0;0;upmTGWG29;4260557423479;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Shilajit Mumijo;649090838;6.5.2026;cpc;0,31;;4;0;0;0;0;0;0;upmR33A3P;4260557421406;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Chia ?l BIO;643127528;6.5.2026;cpc;0,31;;4;1;25;0;0,31;0;0;upmK7YWLD;4260557422649;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;643091125;6.5.2026;cpc;1,31;;5;0;0;0;0;0;0;upm9KDWAZ;4260557421383;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya Enzym;620527421;6.5.2026;cpc;0,51;;4;0;0;0;0;0;0;14250930;4260309482648;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Keto Power;658295963;6.5.2026;cpc;0,31;;4;0;0;0;0;0;0;upmP77L3M;4260557423288;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO EAA;625771660;6.5.2026;cpc;0,51;;4;0;0;0;0;0;0;upmGMXXY9;4260557420744;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Triphala BIO;620567265;6.5.2026;cpc;0,51;;4;0;0;0;0;0;0;upmGL239Y;4260557420812;0
