campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;618496729;9.5.2026;cpc;1,01;;22;0;0;0;0;0;0;upm97PFY9;4260557421826;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D-Mannose Complex;620609091;9.5.2026;cpc;0,51;;21;0;0;0;0;0;0;14250640;4260309482747;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici BIO;658296371;9.5.2026;cpc;0,31;;26;0;0;0;0;0;0;14250976;4260557420034;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;652853552;9.5.2026;cpc;1,31;;21;1;4,761905;0;1,31;0;0;upm7FHKKZ;4260557421437;1,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene;653864224;9.5.2026;cpc;0,51;;21;0;0;0;0;0;0;14250551;4260309484208;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Elettroliti Complex;641629249;9.5.2026;cpc;0,51;;21;0;0;0;0;0;0;upmD23XCL;4260557422823;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BIO Astaxanthin ?l;618496738;9.5.2026;cpc;1,41;1;21;1;5;100;1,41;25,99;1843,262411;upm7GZX42;4260557423165;1,41
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Serenity Complex;641646664;9.5.2026;cpc;0,51;;19;2;10,526316;0;1,02;0;0;upmZFGPHR;4260557422830;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;620605288;9.5.2026;cpc;0,51;;19;0;0;0;0;0;0;upmHHT433;4260557421390;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Biancospino BIO;649076903;9.5.2026;cpc;0,31;;28;1;5,263158;0;0,31;0;0;upmXW7KXD;4260557420720;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;629496627;9.5.2026;cpc;0,51;;19;0;0;0;0;0;0;upmUFEEWW;4260557420300;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO K?rbiskern?l BIO;619721382;9.5.2026;cpc;0,51;;19;0;0;0;0;0;0;upmY7MX4C;4260557422014;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano;658352468;9.5.2026;cpc;0,31;;29;0;0;0;0;0;0;upmGMGWYP;4260309481979;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;626442372;9.5.2026;cpc;1,51;;19;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Taurin Plus;620551671;9.5.2026;cpc;0,51;;19;0;0;0;0;0;0;upmXXW9XA;4260557423059;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesium Bisglycinat;620592111;9.5.2026;cpc;1,71;;19;1;5,263158;0;1,71;0;0;upmX4LT4H;4260557423257;1,71
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;658280012;9.5.2026;cpc;0,31;;25;0;0;0;0;0;0;upm7C9XR2;4260557420836;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Quercetina Complex;658381383;9.5.2026;cpc;0,51;;18;1;5,555556;0;0,51;0;0;upmF2AFXC;4260557423509;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio + Potassio;649076465;9.5.2026;cpc;0,31;;22;0;0;0;0;0;0;upm32MART;4260557420287;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;625778996;9.5.2026;cpc;0,81;;18;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cumino Nero BIO;658352477;9.5.2026;cpc;0,51;;18;1;5,555556;0;0,51;0;0;upmEUZ9F7;4260557421376;0,51
