campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;658279985;3.6.2026;cpc;0,31;;1;0;0;0;0;0;0;14250605;4260557420201;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);658280014;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upmUEXHE2;4260557420850;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;658282823;3.6.2026;cpc;0,31;;1;0;0;0;0;0;0;upmPHKX9F;4260557423141;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO ZMA (Zink + Magnesium + Vitamin B6);617842639;3.6.2026;cpc;1,61;;1;0;0;0;0;0;0;upmRXLDAR;4260557422465;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BCAA Pulver Mango;658445037;3.6.2026;cpc;1,01;;1;0;0;0;0;0;0;upmWWWMYX;4260557423523;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin C liposomal;643129759;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;upm77WEEP;4260557422786;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO ZMA (Zink + Magnesium + Vitamin B6);620595473;3.6.2026;cpc;0,51;;1;0;0;0;0;0;0;upmRXLDAR;4260557422465;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Boswellia Extrakt;658280140;3.6.2026;cpc;0,31;;1;0;0;0;0;0;0;upmEH2K74;4260557422588;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nattokinase;626443809;3.6.2026;cpc;0,51;;1;0;0;0;0;0;0;upm2ZL4CL;4260557423264;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxanthin ?l;643093279;3.6.2026;cpc;0,31;;3;0;0;0;0;0;0;upmYPTY2W;4260557421925;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Mariendistel Plus;652868608;3.6.2026;cpc;0,31;;1;0;0;0;0;0;0;upmR9H2HU;4260557422892;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesium Bisglycinat;658282836;3.6.2026;cpc;1,61;;2;0;0;0;0;0;0;upmX4LT4H;4260557423257;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ingwer BIO;619663942;3.6.2026;cpc;0,51;;1;0;0;0;0;0;0;upmPX4TPU;4260557420386;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sugar Balance Complex;658280126;3.6.2026;cpc;0,31;;4;0;0;0;0;0;0;upmAD4HK4;4260557422403;0
