campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutamin Pulver;626443805;16.10.2025;;28;1;3,571429;0;0,51;0;0;upmUPTFMH;4260557423233;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;658279979;16.10.2025;;28;0;0;0;0;0;0;14251036;4260557420102;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Griffonia;658283010;16.10.2025;;28;0;0;0;0;0;0;upmG7RZLC;4260557423318;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene;653866107;16.10.2025;;28;0;0;0;0;0;0;14250551;4260309484208;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Griffonia Plus;643128060;16.10.2025;;28;0;0;0;0;0;0;upmHCULGA;4260557422755;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO ZMA (Zink + Magnesium + Vitamin B6);643094148;16.10.2025;;28;0;0;0;0;0;0;upmRXLDAR;4260557422465;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Salvia BIO;649077205;16.10.2025;;28;0;0;0;0;0;0;upmMMLDZE;4260557420966;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Hericium BIO;658280019;16.10.2025;;27;0;0;0;0;0;0;upmMERCUR;4260557420881;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ingwer BIO;643085613;16.10.2025;;27;0;0;0;0;0;0;upmPX4TPU;4260557420386;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Salbei BIO;658280032;16.10.2025;;27;0;0;0;0;0;0;upmMMLDZE;4260557420966;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145075;16.10.2025;;27;2;7,407407;0;1,02;0;0;upmKAXT9Y;4260557422915;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;658295889;16.10.2025;;27;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;658280058;16.10.2025;;27;0;0;0;0;0;0;upm9KDWAZ;4260557421383;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;658445099;16.10.2025;;27;1;3,703704;0;0,51;0;0;14250812;4260557420188;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;643137759;16.10.2025;;27;0;0;0;0;0;0;upmPHKX9F;4260557423141;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano;658352465;16.10.2025;;27;0;0;0;0;0;0;upmM9LK7U;4260557420669;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Kudzu Plus;649085977;16.10.2025;;27;1;3,703704;0;0,31;0;0;upmRLD9ZM;4260557421314;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;641644118;16.10.2025;;26;1;3,846154;0;0,51;0;0;upmDFWTTT;4260557423110;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Safran Extrakt;658280000;16.10.2025;;26;1;3,846154;0;0,61;0;0;upm7PELE9;4260557420362;0,61
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO BCAA Pulver Mango;658445062;16.10.2025;;26;0;0;0;0;0;0;upmWWWMYX;4260557423523;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;649088044;16.10.2025;;26;0;0;0;0;0;0;upmHHT433;4260557421390;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;658279991;16.10.2025;;26;0;0;0;0;0;0;upmUFEEWW;4260557420300;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Natural Jod BIO;658279988;16.10.2025;;26;2;7,692308;0;0,62;0;0;14250769;4260557420256;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio Complex;658381392;16.10.2025;;26;0;0;0;0;0;0;14250640;4260309482747;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drena Flux;649110222;16.10.2025;;26;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colina;649091299;16.10.2025;;26;1;3,846154;0;0,31;0;0;upm97PFY9;4260557421826;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;628844146;16.10.2025;;26;3;11,538462;0;1,53;0;0;14250893;4260309481115;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ginseng Rosso Coreano;649076431;16.10.2025;;25;0;0;0;0;0;0;upm2CZXC9;4260557420140;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;643233362;16.10.2025;;25;0;0;0;0;0;0;upmWCKTTE;4260309481214;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps Sinensis BIO;649146937;16.10.2025;;24;0;0;0;0;0;0;upmTG77MW;4260557422991;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Natural Silicium BIO;658280119;16.10.2025;;24;0;0;0;0;0;0;upmCAPY7U;4260557422328;0
